stream_id,stream_name,hypothesis,likelihood,provenance,confidence_ci,notes
1,Demographic Growth Rates,H1,0.07,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
1,Demographic Growth Rates,H2,0.65,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
1,Demographic Growth Rates,H3,0.70,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
1,Demographic Growth Rates,H4,0.50,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
1,Demographic Growth Rates,H5,0.80,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
2,Spanish America Comparison,H1,0.30,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
2,Spanish America Comparison,H2,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
2,Spanish America Comparison,H3,0.70,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
2,Spanish America Comparison,H4,0.40,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
2,Spanish America Comparison,H5,0.60,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
3,Spatial-Temporal Correlation,H1,0.20,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
3,Spatial-Temporal Correlation,H2,0.80,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
3,Spatial-Temporal Correlation,H3,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
3,Spatial-Temporal Correlation,H4,0.30,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
3,Spatial-Temporal Correlation,H5,0.65,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
4,Plantation Ledger Renaming,H1,0.10,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
4,Plantation Ledger Renaming,H2,0.80,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
4,Plantation Ledger Renaming,H3,0.60,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
4,Plantation Ledger Renaming,H4,0.20,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
4,Plantation Ledger Renaming,H5,0.55,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
7,American Genealogical Record,H1,0.45,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
7,American Genealogical Record,H2,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
